"";"t_ind";"semana_ano";"semana_mes";"mes";"ano";"Data";"y_sim[1]";"Y_signal";"x[1]";"x[2]";"x[3]";"ct[1]";"General_Params";"beta_0";"sigma_e";"M";"C";"C_used";"Generation_Adstock_Method";"TEMPORAL";"Y_temporal";"RE_Signal_Y_temporal";"RE_Signal_basalTrend";"trend";"RE_Temporal_trend";"seasonal";"Temporal_Params";"Trend_Method";"tau";"sigma_psi";"psi[1]";"psi[2]";"psi[3]";"psi[4]";"psi[5]";"psi[6]";"psi[7]";"psi[8]";"psi[9]";"psi[10]";"psi[11]";"psi[12]";"MARKETING";"Y_Marketing";"RE_Signal_Y_Marketing";"Channel[1]";"x[1]";"x_pre_ads[1]";"x_ads[1]";"x_sat[1]";"x_hilladstocked[1]";"Params_Channel[1]";"beta_x[1]";"theta_x[1]";"shape_x[1]";"scale_x[1]";"lambda_x[1]";"gamma_w_x[1]";"alpha_x[1]";"w_x[1]";"ROI_x[1]";"RE_advertising_x[1]";"RE_Signal_x[1]";"Channel[2]";"x[2]";"x_pre_ads[2]";"x_ads[2]";"x_sat[2]";"x_hilladstocked[2]";"Params_Channel[2]";"beta_x[2]";"theta_x[2]";"shape_x[2]";"scale_x[2]";"lambda_x[2]";"gamma_w_x[2]";"alpha_x[2]";"w_x[2]";"ROI_x[2]";"RE_advertising_x[2]";"RE_Signal_x[2]";"Channel[3]";"x[3]";"x_pre_ads[3]";"x_ads[3]";"x_sat[3]";"x_hilladstocked[3]";"Params_Channel[3]";"beta_x[3]";"theta_x[3]";"shape_x[3]";"scale_x[3]";"lambda_x[3]";"gamma_w_x[3]";"alpha_x[3]";"w_x[3]";"ROI_x[3]";"RE_advertising_x[3]";"RE_Signal_x[3]";"CONTROL";"Y_Control";"RE_Signal_Y_Control";"Control[1]";"ct[1]";"ct_impact[1]";"params_Control[1]";"beta_ct[1]";"RE_Signal_ct[1]";"fake_date"
"t= 7";11;8;4;2;2000;NA;28755,2145966317;22674,8047687287;686,063706506399;447,433399127088;637,332884207625;835,327925393358;NA;7000;3500;3;1;1;3;NA;5225;0,604986067048119;0,209089587083715;1375;0,657277268651676;-3150;NA;2;125;2822,5161154938;-3150;-3150;-3150;850;850;3850;3850;3850;1550;1550;-3450;-3450;NA;4919,88588782835;0,163694310673974;NA;686,063706506399;802,687432379159;593,968974911311;0,0458612559671051;687,918839506577;NA;15000;0,001;1;0,75;0,001;2000;2,5;0,801282051282051;2,26814957138843;0,355271067880233;0,0581558525590614;NA;447,433399127088;368,611287991605;397,197503369444;0,414531921509917;1243,59576452975;NA;3000;0,001;1,5;1;0,001;500;1,5;0,705716302046577;2,71762390911744;0,269832928709725;0,044170115262278;NA;637,332884207625;83,2823545168254;975,064513334663;0,597674256758404;2988,37128379202;NA;5000;0,001;2;0,5;0,001;800;2;0,9000900090009;2,55956064667298;0,374896003410041;0,0613683428526345;NA;12529,9188809004;0,231319622277907;NA;835,327925393358;12529,9188809004;NA;15;0,231319622277907;2000-02-25
"t= 8";12;9;1;3;2000;NA;19208,9746322233;16238,0557446168;1749,52162403732;405,926372523136;740,667776973891;199,167216196656;NA;7000;3500;3;1;1;3;NA;5350;0,604986067048119;0,209089587083715;1500;0,657277268651676;-3150;NA;2;125;2822,5161154938;-3150;-3150;-3150;850;850;3850;3850;3850;1550;1550;-3450;-3450;NA;7900,54750166698;0,163694310673974;NA;1749,52162403732;1958,22014319557;1449,03478513058;0,308823825248447;4632,35737872671;NA;15000;0,001;1;0,75;0,001;2000;2,5;0,801282051282051;2,26814957138843;0,355271067880233;0,0581558525590614;NA;405,926372523136;397,560333261836;428,391579299443;0,442294369554306;1326,88310866292;NA;3000;0,001;1,5;1;0,001;500;1,5;0,705716302046577;2,71762390911744;0,269832928709725;0,044170115262278;NA;740,667776973891;54,4363251129407;637,33703450055;0,388261402855471;1941,30701427736;NA;5000;0,001;2;0,5;0,001;800;2;0,9000900090009;2,55956064667298;0,374896003410041;0,0613683428526345;NA;2987,50824294984;0,231319622277907;NA;199,167216196656;2987,50824294984;NA;15;0,231319622277907;2000-03-03
"t= 9";13;10;2;3;2000;NA;28502,7070294519;24652,6903573007;953,845325341875;1126,96621440156;2489,12608412108;860,834878170863;NA;7000;3500;3;1;1;3;NA;5475;0,604986067048119;0,209089587083715;1625;0,657277268651676;-3150;NA;2;125;2822,5161154938;-3150;-3150;-3150;850;850;3850;3850;3850;1550;1550;-3450;-3450;NA;6265,16718473772;0,163694310673974;NA;953,845325341875;1467,16013836213;1085,66244874512;0,178375577537506;2675,63366306258;NA;15000;0,001;1;0,75;0,001;2000;2,5;0,801282051282051;2,26814957138843;0,355271067880233;0,0581558525590614;NA;1126,96621440156;381,679598835032;411,279276254226;0,427268740708691;1281,80622212607;NA;3000;0,001;1,5;1;0,001;500;1,5;0,705716302046577;2,71762390911744;0,269832928709725;0,044170115262278;NA;2489,12608412108;63,2619174263623;740,666508359723;0,461545459909812;2307,72729954906;NA;5000;0,001;2;0,5;0,001;800;2;0,9000900090009;2,55956064667298;0,374896003410041;0,0613683428526345;NA;12912,5231725629;0,231319622277907;NA;860,834878170863;12912,5231725629;NA;15;0,231319622277907;2000-03-10
"t= 10";14;11;3;3;2000;NA;16397,6790781445;22447,1356760303;1036,11905165523;735,293814594331;1142,21230896246;507,182498695329;NA;7000;3500;3;1;1;3;NA;5600;0,604986067048119;0,209089587083715;1750;0,657277268651676;-3150;NA;2;125;2822,5161154938;-3150;-3150;-3150;850;850;3850;3850;3850;1550;1550;-3450;-3450;NA;9239,39819560039;0,163694310673974;NA;1036,11905165523;1421,67844515048;1052,00711342477;0,167128239676101;2506,92359514151;NA;15000;0,001;1;0,75;0,001;2000;2,5;0,801282051282051;2,26814957138843;0,355271067880233;0,0581558525590614;NA;735,293814594331;911,425724993577;982,107803715384;0,733536381032719;2200,60914309816;NA;3000;0,001;1,5;1;0,001;500;1,5;0,705716302046577;2,71762390911744;0,269832928709725;0,044170115262278;NA;1142,21230896246;212,599770269006;2489,10459766756;0,906373091472143;4531,86545736072;NA;5000;0,001;2;0,5;0,001;800;2;0,9000900090009;2,55956064667298;0,374896003410041;0,0613683428526345;NA;7607,73748042993;0,231319622277907;NA;507,182498695329;7607,73748042993;NA;15;0,231319622277907;2000-03-17
"t= 11";15;12;4;3;2000;NA;11015,2972060785;16991,5305608233;337,207403023718;426,744602296143;1048,93258373295;359,652695944533;NA;7000;3500;3;1;1;3;NA;5725;0,604986067048119;0,209089587083715;1875;0,657277268651676;-3150;NA;2;125;2822,5161154938;-3150;-3150;-3150;850;850;3850;3850;3850;1550;1550;-3450;-3450;NA;5871,74012165528;0,163694310673974;NA;337,207403023718;708,645491218605;524,380249416704;0,0340029521648995;510,044282473492;NA;15000;0,001;1;0,75;0,001;2000;2,5;0,801282051282051;2,26814957138843;0,355271067880233;0,0581558525590614;NA;426,744602296143;741,914025599912;799,450283491508;0,669068351635853;2007,20505490756;NA;3000;0,001;1,5;1;0,001;500;1,5;0,705716302046577;2,71762390911744;0,269832928709725;0,044170115262278;NA;1048,93258373295;97,5602204458482;1142,2288601439;0,670898156854846;3354,49078427423;NA;5000;0,001;2;0,5;0,001;800;2;0,9000900090009;2,55956064667298;0,374896003410041;0,0613683428526345;NA;5394,79043916799;0,231319622277907;NA;359,652695944533;5394,79043916799;NA;15;0,231319622277907;2000-03-24
"t= 12";16;13;5;3;2000;NA;24719,2211860765;27242,6244426196;1199,29491173632;504,26387714353;2185,44276888011;959,377801744267;NA;7000;3500;3;1;1;3;NA;5850;0,604986067048119;0,209089587083715;2000;0,657277268651676;-3150;NA;2;125;2822,5161154938;-3150;-3150;-3150;850;850;3850;3850;3850;1550;1550;-3450;-3450;NA;7001,95741645561;0,163694310673974;NA;1199,29491173632;1377,64523224618;1019,42361793724;0,156464283133978;2346,96424700967;NA;15000;0,001;1;0,75;0,001;2000;2,5;0,801282051282051;2,26814957138843;0,355271067880233;0,0581558525590614;NA;504,26387714353;461,46357230435;497,250585607153;0,497932260663793;1493,79678199138;NA;3000;0,001;1,5;1;0,001;500;1,5;0,705716302046577;2,71762390911744;0,269832928709725;0,044170115262278;NA;2185,44276888011;89,5916830473831;1048,93373075543;0,632239277490912;3161,19638745456;NA;5000;0,001;2;0,5;0,001;800;2;0,9000900090009;2,55956064667298;0,374896003410041;0,0613683428526345;NA;14390,667026164;0,231319622277907;NA;959,377801744267;14390,667026164;NA;15;0,231319622277907;2000-03-31
"t= 13";17;14;2;4;2000;NA;16431,3509246403;18567,0956174179;262,503363316233;1036,94090253454;644,249899631979;154,929093550891;NA;7000;3500;3;1;1;3;NA;9975;0,604986067048119;0,209089587083715;2125;0,657277268651676;850;NA;2;125;2822,5161154938;-3150;-3150;-3150;850;850;3850;3850;3850;1550;1550;-3450;-3450;NA;6268,15921415454;0,163694310673974;NA;262,503363316233;621,041586342501;459,555512565824;0,0246839873608418;370,259810412627;NA;15000;0,001;1;0,75;0,001;2000;2,5;0,801282051282051;2,26814957138843;0,355271067880233;0,0581558525590614;NA;1036,94090253454;459,390054747607;495,01626445758;0,496243516091531;1488,73054827459;NA;3000;0,001;1,5;1;0,001;500;1,5;0,705716302046577;2,71762390911744;0,269832928709725;0,044170115262278;NA;644,249899631979;186,662168274031;2185,42880208004;0,881833771093464;4409,16885546732;NA;5000;0,001;2;0,5;0,001;800;2;0,9000900090009;2,55956064667298;0,374896003410041;0,0613683428526345;NA;2323,93640326336;0,231319622277907;NA;154,929093550891;2323,93640326336;NA;15;0,231319622277907;2000-04-07
"t= 14";18;15;3;4;2000;NA;14663,4114692027;15218,4738984752;567,632325531596;527,052135742499;882,521494371694;30,7096985634416;NA;7000;3500;3;1;1;3;NA;10100;0,604986067048119;0,209089587083715;2250;0,657277268651676;850;NA;2;125;2822,5161154938;-3150;-3150;-3150;850;850;3850;3850;3850;1550;1550;-3450;-3450;NA;4657,82842002353;0,163694310673974;NA;567,632325531596;726,334779373283;537,469887958823;0,0360867927919715;541,301891879573;NA;15000;0,001;1;0,75;0,001;2000;2,5;0,801282051282051;2,26814957138843;0,355271067880233;0,0581558525590614;NA;527,052135742499;860,909836323236;927,674351691513;0,716488393924968;2149,4651817749;NA;3000;0,001;1,5;1;0,001;500;1,5;0,705716302046577;2,71762390911744;0,269832928709725;0,044170115262278;NA;882,521494371694;55,0283853729889;644,268838394401;0,39341226927381;1967,06134636905;NA;5000;0,001;2;0,5;0,001;800;2;0,9000900090009;2,55956064667298;0,374896003410041;0,0613683428526345;NA;460,645478451625;0,231319622277907;NA;30,7096985634416;460,645478451625;NA;15;0,231319622277907;2000-04-14
"t= 15";19;16;4;4;2000;NA;40743,2542402997;31360,0223018064;1366,39195841826;527,453136462124;352,591102479784;909,147134982049;NA;7000;3500;3;1;1;3;NA;10225;0,604986067048119;0,209089587083715;2375;0,657277268651676;850;NA;2;125;2822,5161154938;-3150;-3150;-3150;850;850;3850;3850;3850;1550;1550;-3450;-3450;NA;7497,81527707565;0,163694310673974;NA;1366,39195841826;1556,22370709562;1151,56730098104;0,200999646462188;3014,99469693282;NA;15000;0,001;1;0,75;0,001;2000;2,5;0,801282051282051;2,26814957138843;0,355271067880233;0,0581558525590614;NA;527,453136462124;574,468121196596;619,018762957199;0,579395225074783;1738,18567522435;NA;3000;0,001;1,5;1;0,001;500;1,5;0,705716302046577;2,71762390911744;0,269832928709725;0,044170115262278;NA;352,591102479784;75,3778063722391;882,518566063513;0,548926980983696;2744,63490491848;NA;5000;0,001;2;0,5;0,001;800;2;0,9000900090009;2,55956064667298;0,374896003410041;0,0613683428526345;NA;13637,2070247307;0,231319622277907;NA;909,147134982049;13637,2070247307;NA;15;0,231319622277907;2000-04-21
"t= 16";20;17;5;4;2000;NA;22154,7010166423;25963,0676255707;914,298034597011;227,258625349607;1260,21099822561;738,589110551402;NA;7000;3500;3;1;1;3;NA;10350;0,604986067048119;0,209089587083715;2500;0,657277268651676;850;NA;2;125;2822,5161154938;-3150;-3150;-3150;850;850;3850;3850;3850;1550;1550;-3450;-3450;NA;4534,23096729971;0,163694310673974;NA;914,298034597011;1318,72401419354;975,823364494234;0,142576633641183;2138,64950461775;NA;15000;0,001;1;0,75;0,001;2000;2,5;0,801282051282051;2,26814957138843;0,355271067880233;0,0581558525590614;NA;227,258625349607;499,261455558257;537,979736748731;0,527427239451935;1582,2817183558;NA;3000;0,001;1,5;1;0,001;500;1,5;0,705716302046577;2,71762390911744;0,269832928709725;0,044170115262278;NA;1260,21099822561;30,1161196772486;352,597615028911;0,162659948865232;813,299744326159;NA;5000;0,001;2;0,5;0,001;800;2;0,9000900090009;2,55956064667298;0,374896003410041;0,0613683428526345;NA;11078,836658271;0,231319622277907;NA;738,589110551402;11078,836658271;NA;15;0,231319622277907;2000-04-28
"t= 17";21;18;1;5;2000;NA;26446,0523210612;24419,2133368873;1178,79205850543;558,295884056154;1464,67838526569;438,189033651724;NA;7000;3500;3;1;1;3;NA;10475;0,604986067048119;0,209089587083715;2625;0,657277268651676;850;NA;2;125;2822,5161154938;-3150;-3150;-3150;850;850;3850;3850;3850;1550;1550;-3450;-3450;NA;7371,3778321114;0,163694310673974;NA;1178,79205850543;1525,13658150003;1128,5635919679;0,193020200834341;2895,30301251511;NA;15000;0,001;1;0,75;0,001;2000;2,5;0,801282051282051;2,26814957138843;0,355271067880233;0,0581558525590614;NA;558,295884056154;267,197993854817;287,91949547371;0,304091238176207;912,273714528621;NA;3000;0,001;1,5;1;0,001;500;1,5;0,705716302046577;2,71762390911744;0,269832928709725;0,044170115262278;NA;1464,67838526569;107,636375687608;1260,19984528345;0,712760221013534;3563,80110506767;NA;5000;0,001;2;0,5;0,001;800;2;0,9000900090009;2,55956064667298;0,374896003410041;0,0613683428526345;NA;6572,83550477587;0,231319622277907;NA;438,189033651724;6572,83550477587;NA;15;0,231319622277907;2000-05-05
"t= 18";22;19;2;5;2000;NA;29459,6864139285;23380,137524083;1550,68179536227;592,863599421162;750,870658308071;189,050668152049;NA;7000;3500;3;1;1;3;NA;10600;0,604986067048119;0,209089587083715;2750;0,657277268651676;850;NA;2;125;2822,5161154938;-3150;-3150;-3150;850;850;3850;3850;3850;1550;1550;-3450;-3450;NA;9944,37750180225;0,163694310673974;NA;1550,68179536227;1949,96293299874;1442,92465249564;0,306573483868931;4598,60225803397;NA;15000;0,001;1;0,75;0,001;2000;2,5;0,801282051282051;2,26814957138843;0,355271067880233;0,0581558525590614;NA;592,863599421162;461,823624184777;497,638559911381;0,498224731878828;1494,67419563648;NA;3000;0,001;1,5;1;0,001;500;1,5;0,705716302046577;2,71762390911744;0,269832928709725;0,044170115262278;NA;750,870658308071;125,101112362199;1464,67587222728;0,770220209626359;3851,1010481318;NA;5000;0,001;2;0,5;0,001;800;2;0,9000900090009;2,55956064667298;0,374896003410041;0,0613683428526345;NA;2835,76002228074;0,231319622277907;NA;189,050668152049;2835,76002228074;NA;15;0,231319622277907;2000-05-12
